권역,권역명,철도운영기관명,노선명,순번,역명
01,수도권,공항철도주식회사,공항,1,서울역
01,수도권,공항철도주식회사,공항,2,공덕
01,수도권,공항철도주식회사,공항,3,홍대입구
01,수도권,공항철도주식회사,공항,4,디지털미디어시티
01,수도권,공항철도주식회사,공항,5,마곡나루
01,수도권,공항철도주식회사,공항,6,김포공항
01,수도권,공항철도주식회사,공항,7,계양
01,수도권,공항철도주식회사,공항,8,검암
01,수도권,공항철도주식회사,공항,9,청라국제도시
01,수도권,공항철도주식회사,공항,10,영종
01,수도권,공항철도주식회사,공항,11,운서
01,수도권,공항철도주식회사,공항,12,공항화물청사
01,수도권,공항철도주식회사,공항,13,인천공항1터미널
01,수도권,공항철도주식회사,공항,14,인천공항2터미널
02,부산,부산김해경전철주식회사,부산김해경전철,1,사상(서부터미널)
02,부산,부산김해경전철주식회사,부산김해경전철,2,괘법르네시떼(강변공원)
02,부산,부산김해경전철주식회사,부산김해경전철,3,서부산유통지구(금호마을)
02,부산,부산김해경전철주식회사,부산김해경전철,4,공항
02,부산,부산김해경전철주식회사,부산김해경전철,5,덕두
02,부산,부산김해경전철주식회사,부산김해경전철,6,등구
02,부산,부산김해경전철주식회사,부산김해경전철,7,대저
02,부산,부산김해경전철주식회사,부산김해경전철,8,평강
02,부산,부산김해경전철주식회사,부산김해경전철,9,대사
02,부산,부산김해경전철주식회사,부산김해경전철,10,불암
02,부산,부산김해경전철주식회사,부산김해경전철,11,지내
02,부산,부산김해경전철주식회사,부산김해경전철,12,김해대학(안동)
02,부산,부산김해경전철주식회사,부산김해경전철,13,인제대(활천)
02,부산,부산김해경전철주식회사,부산김해경전철,14,김해시청
02,부산,부산김해경전철주식회사,부산김해경전철,15,부원
02,부산,부산김해경전철주식회사,부산김해경전철,16,봉황(김해여객터미널)
02,부산,부산김해경전철주식회사,부산김해경전철,17,수로왕릉(김해보건소)
02,부산,부산김해경전철주식회사,부산김해경전철,18,박물관
02,부산,부산김해경전철주식회사,부산김해경전철,19,연지공원
02,부산,부산김해경전철주식회사,부산김해경전철,20,장신대(화정)
02,부산,부산김해경전철주식회사,부산김해경전철,21,가야대(삼계)
02,부산,부산교통공사,1호선,1,다대포해수욕장
02,부산,부산교통공사,1호선,2,다대포항
02,부산,부산교통공사,1호선,3,낫개
02,부산,부산교통공사,1호선,4,신장림
02,부산,부산교통공사,1호선,5,장림
02,부산,부산교통공사,1호선,6,동매
02,부산,부산교통공사,1호선,7,신평
02,부산,부산교통공사,1호선,8,하단(부산본병원)
02,부산,부산교통공사,1호선,9,당리(사하구청)
02,부산,부산교통공사,1호선,10,사하
02,부산,부산교통공사,1호선,11,괴정
02,부산,부산교통공사,1호선,12,대티(동주대학)
02,부산,부산교통공사,1호선,13,서대신
02,부산,부산교통공사,1호선,14,동대신
02,부산,부산교통공사,1호선,15,토성
02,부산,부산교통공사,1호선,16,자갈치
02,부산,부산교통공사,1호선,17,남포
02,부산,부산교통공사,1호선,18,중앙
02,부산,부산교통공사,1호선,19,부산
02,부산,부산교통공사,1호선,20,초량
02,부산,부산교통공사,1호선,21,부산진
02,부산,부산교통공사,1호선,22,좌천
02,부산,부산교통공사,1호선,23,범일
02,부산,부산교통공사,1호선,24,범내골
02,부산,부산교통공사,1호선,25,서면
02,부산,부산교통공사,1호선,26,부전(부산시민공원.송상현광장)
02,부산,부산교통공사,1호선,27,양정
02,부산,부산교통공사,1호선,28,시청(연제)
02,부산,부산교통공사,1호선,29,연산
02,부산,부산교통공사,1호선,30,교대
02,부산,부산교통공사,1호선,31,동래
02,부산,부산교통공사,1호선,32,명륜
02,부산,부산교통공사,1호선,33,온천장
02,부산,부산교통공사,1호선,34,부산대
02,부산,부산교통공사,1호선,35,장전(부산가톨릭대학교)
02,부산,부산교통공사,1호선,36,구서
02,부산,부산교통공사,1호선,37,두실
02,부산,부산교통공사,1호선,38,남산(부산외국대학교)
02,부산,부산교통공사,1호선,39,범어사
02,부산,부산교통공사,1호선,40,노포(종합버스터미널)
02,부산,부산교통공사,2호선,1,장산(해운대백병원)
02,부산,부산교통공사,2호선,2,중동
02,부산,부산교통공사,2호선,3,해운대
02,부산,부산교통공사,2호선,4,동백
02,부산,부산교통공사,2호선,5,벡스코(시립미술관)
02,부산,부산교통공사,2호선,6,센텀시티(BEXCO.신세계)
02,부산,부산교통공사,2호선,7,민락
02,부산,부산교통공사,2호선,8,수영
02,부산,부산교통공사,2호선,9,광안
02,부산,부산교통공사,2호선,10,금련산
02,부산,부산교통공사,2호선,11,남천(KBS.수영구청)
02,부산,부산교통공사,2호선,12,경성대.부경대(동명대학교)
02,부산,부산교통공사,2호선,13,대연(고려병원)
02,부산,부산교통공사,2호선,14,못골(남구청)
02,부산,부산교통공사,2호선,15,지게골
02,부산,부산교통공사,2호선,16,문현
02,부산,부산교통공사,2호선,17,국제금융센터.부산은행
02,부산,부산교통공사,2호선,18,전포
02,부산,부산교통공사,2호선,19,서면
02,부산,부산교통공사,2호선,20,부암(온종합병원)
02,부산,부산교통공사,2호선,21,가야
02,부산,부산교통공사,2호선,22,동의대
02,부산,부산교통공사,2호선,23,개금
02,부산,부산교통공사,2호선,24,냉정
02,부산,부산교통공사,2호선,25,주례
02,부산,부산교통공사,2호선,26,감전(사상구청)
02,부산,부산교통공사,2호선,27,사상(서부터미널)
02,부산,부산교통공사,2호선,28,덕포
02,부산,부산교통공사,2호선,29,모덕
02,부산,부산교통공사,2호선,30,모라
02,부산,부산교통공사,2호선,31,구남
02,부산,부산교통공사,2호선,32,구명
02,부산,부산교통공사,2호선,33,덕천(부산과기대)
02,부산,부산교통공사,2호선,34,수정(방송통신대)
02,부산,부산교통공사,2호선,35,화명
02,부산,부산교통공사,2호선,36,율리
02,부산,부산교통공사,2호선,37,동원
02,부산,부산교통공사,2호선,38,금곡
02,부산,부산교통공사,2호선,39,호포
